ts,voltage,capacity
1575478704.436447,4.2225,96.7109375
1575478714.4413352,4.1225,96.7109375
1575478724.4526231,4.1275,96.55078125
1575478734.4639094,4.12625,96.55078125
1575478744.471305,4.1225,96.55078125
1575478754.4825723,4.1225,96.55078125
1575478764.4913044,4.12,96.55078125
1575478774.5025744,4.12,96.55078125
1575478784.5113897,4.12,96.39453125
1575478794.5213075,4.11875,96.39453125
1575478804.5325813,4.11625,96.39453125
1575478814.5438643,4.1175,96.39453125
1575478824.555147,4.115,96.39453125
1575478834.5664144,4.1125,96.234375
1575478844.5776918,4.1025,96.234375
1575478854.581308,4.1125,96.234375
1575478864.591309,4.1125,96.234375
1575478874.6013088,4.11,96.078125
1575478884.6125858,4.11,96.078125
1575478894.6213152,4.11,96.078125
1575478904.6325986,4.11,96.078125
1575478914.6439662,4.10875,96.078125
1575478924.6552322,4.10625,95.91796875
1575478934.666493,4.1075,95.91796875
1575478944.671318,4.105,95.91796875
1575478954.6826036,4.10625,95.91796875
1575478964.693905,4.105,95.76171875
1575478974.7052991,4.0925,95.76171875
1575478984.7113113,4.105,95.76171875
1575478994.7225764,4.10375,95.76171875
1575479004.7317016,4.0975,95.6015625
1575479014.7430754,4.1025,95.6015625
1575479024.7513587,4.10125,95.6015625
1575479034.7627752,4.1025,95.6015625
1575479044.7713199,4.1,95.4453125
1575479054.7825778,4.09875,95.4453125
1575479064.7938623,4.1,95.4453125
1575479074.8013072,4.0975,95.4453125
1575479084.812588,4.09875,95.28515625
1575479094.8213053,4.1,95.28515625
1575479104.8313124,4.0975,95.28515625
1575479114.8425932,4.0975,95.28515625
1575479124.8538754,4.09625,95.12890625
1575479134.8613267,4.085,95.12890625
1575479144.8726096,4.09375,95.12890625
1575479154.883885,4.095,95.12890625
1575479164.8951564,4.09375,94.96875
1575479174.9064863,4.095,94.96875
1575479184.9177794,4.095,94.96875
1575479194.929158,4.09375,94.96875
1575479204.940431,4.0925,94.8125
1575479214.9517136,4.0925,94.8125
1575479224.963,4.0925,94.8125
1575479234.9743824,4.0925,94.8125
1575479244.985663,4.0925,94.65234375
1575479254.9969356,4.0875,94.65234375
1575479265.0082407,4.09,94.65234375
1575479275.0195231,4.08875,94.65234375
1575479285.030817,4.09,94.49609375
1575479295.041343,4.0775,94.49609375
1575479305.0526423,4.0875,94.49609375
1575479315.0613225,4.0875,94.3359375
1575479325.0725954,4.0875,94.3359375
1575479335.0838664,4.0875,94.3359375
1575479345.095185,4.0875,94.3359375
1575479355.106561,4.0875,94.1796875
1575479365.1178315,4.085,94.1796875
1575479375.1291032,4.0875,94.1796875
1575479385.1404045,4.0825,94.1796875
1575479395.1517882,4.085,94.01953125
1575479405.16306,4.085,94.01953125
1575479415.1743317,4.085,94.01953125
1575479425.185617,4.07125,94.01953125
1575479435.1971285,4.08375,93.86328125
1575479445.2084148,4.0825,93.86328125
1575479455.2196846,4.08125,93.86328125
1575479465.230963,4.0825,93.703125
1575479475.2413146,4.08,93.703125
1575479485.252578,4.0825,93.703125
1575479495.263852,4.08125,93.703125
1575479505.2713113,4.08,93.546875
1575479515.281438,4.0825,93.546875
1575479525.2929032,4.08125,93.546875
1575479535.3013558,4.08125,93.546875
1575479545.3127477,4.0775,93.38671875
1575479555.3240159,4.07875,93.38671875
1575479565.3352911,4.0775,93.38671875
1575479575.3465753,4.0775,93.23046875
1575479585.351351,4.065,93.23046875
1575479595.362619,4.0775,93.23046875
1575479605.3713076,4.0775,93.23046875
1575479615.382586,4.0775,93.0703125
1575479625.3938568,4.0775,93.0703125
1575479635.4051535,4.07625,93.0703125
1575479645.4165392,4.0775,93.0703125
1575479655.4278429,4.075,92.9140625
1575479665.4392242,4.07625,92.9140625
1575479675.450494,4.07375,92.9140625
1575479685.4617646,4.075,92.9140625
1575479695.4730542,4.075,92.75390625
1575479705.4844403,4.075,92.75390625
1575479715.4913383,4.0625,92.75390625
1575479725.502632,4.075,92.59765625
1575479735.5138965,4.075,92.59765625
1575479745.5213785,4.0725,92.59765625
1575479755.5327058,4.07375,92.59765625
1575479765.5440779,4.07125,92.4375
1575479775.5553448,4.0725,92.4375
1575479785.5666227,4.0725,92.4375
1575479795.577901,4.0725,92.4375
1575479805.5813026,4.07125,92.28125
1575479815.5925598,4.0725,92.28125
1575479825.6013095,4.0725,92.28125
1575479835.612618,4.07,92.28125
1575479845.623887,4.07,92.12109375
1575479855.6351597,4.06875,92.12109375
1575479865.6413066,4.07,92.12109375
1575479875.6513486,4.0575,91.96484375
1575479885.6626058,4.07,91.96484375
1575479895.6713219,4.0675,91.96484375
1575479905.681309,4.06875,91.96484375
1575479915.6913075,4.07,91.8046875
1575479925.7025964,4.0675,91.8046875
1575479935.7138703,4.0675,91.8046875
1575479945.7251694,4.0675,91.8046875
1575479955.7313128,4.06875,91.6484375
1575479965.742585,4.06625,91.6484375
1575479975.7538767,4.0675,91.6484375
1575479985.765161,4.06625,91.6484375
1575479995.7764275,4.0675,91.48828125
1575480005.7813675,4.055,91.48828125
1575480015.7927165,4.0675,91.48828125
1575480025.8039918,4.06625,91.48828125
1575480035.8113618,4.06625,91.33203125
1575480045.82268,4.065,91.33203125
1575480055.8339498,4.065,91.33203125
1575480065.8452265,4.065,91.33203125
1575480075.8513584,4.065,91.171875
1575480085.8627381,4.065,91.171875
1575480095.871306,4.065,91.171875
1575480105.882596,4.065,91.171875
1575480115.8939102,4.065,91.015625
1575480125.9052901,4.0625,91.015625
1575480135.916589,4.06375,91.015625
1575480145.927966,4.06,91.015625
1575480155.939235,4.065,90.85546875
1575480165.9505036,4.0525,90.85546875
1575480175.9618068,4.06375,90.85546875
1575480185.9713123,4.0625,90.69921875
1575480195.9825983,4.0625,90.69921875
1575480205.9913652,4.0625,90.69921875
1575480216.002652,4.0625,90.69921875
1575480226.0139196,4.0625,90.69921875
1575480236.0252042,4.0625,90.5390625
1575480246.0364883,4.0625,90.5390625
1575480256.0477736,4.05875,90.5390625
1575480266.0591486,4.0625,90.5390625
1575480276.07043,4.05875,90.3828125
1575480286.0817137,4.06125,90.3828125
