ts,voltage,capacity
1576482241.853952,3.285,0.0
1576482251.8654492,3.29,0.0
1576482261.876831,3.2925,0.0
1576482271.8881855,3.2725,0.0
1576482281.8994806,3.29125,0.0
1576482291.9048433,3.29125,0.0
1576482301.9147537,3.2825,0.0
1576482311.9260547,3.29125,0.0
1576482321.9374352,3.295,0.0
1576482331.9487877,3.2925,0.0
1576482341.9600446,3.2975,0.0
1576482351.9713295,3.3,0.0
1576482361.9827075,3.2975,0.0
1576482371.9940765,3.30125,0.0
1576482382.0047429,3.30125,0.0
1576482392.0161252,3.3025,0.0
1576482402.027506,3.3,0.0
1576482412.0389059,3.30125,0.0
1576482422.0502923,3.30625,0.0
1576482432.0616717,3.28,0.0
1576482442.0730586,3.30625,0.0
1576482452.084437,3.305,0.00390625
1576482462.0958576,3.3,0.0078125
1576482472.1047223,3.31,0.0078125
1576482482.1147265,3.3075,0.0078125
1576482492.1248085,3.3075,0.01171875
1576482502.136211,3.31,0.01171875
1576482512.1476066,3.3125,0.015625
1576482522.1590073,3.31125,0.015625
1576482532.1704063,3.3125,0.01953125
1576482542.1817915,3.3125,0.01953125
1576482552.184727,3.315,0.01953125
1576482562.194728,3.315,0.0234375
1576482572.2061183,3.31875,0.0234375
1576482582.2147217,3.3175,0.0234375
1576482592.2260811,3.2925,0.02734375
1576482602.2373698,3.31875,0.02734375
1576482612.248754,3.3175,0.02734375
1576482622.260167,3.31625,0.03125
1576482632.2714505,3.3175,0.03125
1576482642.282845,3.32125,0.03125
1576482652.294205,3.315,0.03125
1576482662.3054898,3.3225,0.03515625
1576482672.3147197,3.3175,0.03515625
1576482682.3261395,3.3225,0.03515625
1576482692.3375542,3.325,0.03515625
1576482702.3490026,3.325,0.0390625
1576482712.3603957,3.3275,0.0390625
1576482722.3647256,3.32625,0.0390625
1576482732.376112,3.32875,0.0390625
1576482742.3875213,3.32375,0.0390625
1576482752.3988822,3.31,0.04296875
1576482762.4101465,3.32625,0.04296875
1576482772.421443,3.33,0.04296875
1576482782.4247487,3.31875,0.04296875
1576482792.436043,3.33,0.04296875
1576482802.4474313,3.3325,0.046875
1576482812.4588237,3.3325,0.046875
1576482822.4702134,3.33375,0.046875
1576482832.4816067,3.33125,0.046875
1576482842.4930074,3.335,0.046875
1576482852.5044053,3.3325,0.046875
1576482862.5158045,3.335,0.05078125
1576482872.5272079,3.3375,0.05078125
1576482882.538621,3.3325,0.05078125
1576482892.5500553,3.3375,0.05078125
1576482902.561582,3.33875,0.05078125
1576482912.5729487,3.3325,0.05078125
1576482922.5842102,3.3375,0.05078125
1576482932.5955076,3.34,0.0546875
1576482942.6047559,3.3275,0.0546875
1576482952.614734,3.3375,0.0546875
1576482962.6261241,3.34,0.0546875
1576482972.6375077,3.3375,0.0546875
1576482982.6489098,3.34375,0.0546875
1576482992.6602964,3.345,0.0546875
1576483002.6647856,3.34375,0.05859375
1576483012.6761925,3.3425,0.05859375
1576483022.6875873,3.3475,0.05859375
1576483032.6989763,3.34125,0.05859375
1576483042.7103775,3.3475,0.05859375
1576483052.721773,3.3475,0.05859375
1576483062.7331576,3.3475,0.05859375
1576483072.7445338,3.335,0.05859375
1576483082.7558599,3.3475,0.0625
1576483092.7647288,3.3475,0.0625
1576483102.7747598,3.33125,0.0625
